Scale,Group,Test,RMSEA,CFI,TLI,SRMR,_RMSEA,_CFI,Invariance,Tests failed
Balanced Inventory of Desirable Responding,Median age,configural,0.034,0.951,0.948,0.072,,,Pass,
,,metric,0.041,0.926,0.924,0.076,0.007,-0.025,Fail,metric
,,scalar,0.043,0.914,0.914,0.078,0.002,-0.012,Pass,
,Gender,configural,0.028,0.966,0.964,0.069,,,Pass,
,,metric,0.033,0.951,0.949,0.072,0.005,-0.015,Fail,metric
,,scalar,0.037,0.937,0.937,0.074,0.004,-0.014,Pass,
Balanced Inventory of Desirable Responding - Impression Management,Median age,configural,0.043,0.949,0.943,0.041,,,Pass,
,,metric,0.043,0.946,0.942,0.043,0.000,-0.003,Pass,
,,scalar,0.046,0.932,0.932,0.047,0.003,-0.014,Pass,
,Gender,configural,0.041,0.953,0.947,0.040,,,Pass,
,,metric,0.041,0.951,0.948,0.041,0.000,-0.002,Pass,
,,scalar,0.046,0.935,0.934,0.046,0.005,-0.016,Fail,scalar
Balanced Inventory of Desirable Responding - Self Deception,Median age,configural,0.063,0.820,0.796,0.060,,,Fail,configural
,,metric,0.061,0.820,0.808,0.060,-0.002,0.000,Pass,
,,scalar,0.063,0.798,0.797,0.063,0.002,-0.022,Fail,scalar
,Gender,configural,0.063,0.820,0.796,0.060,,,Fail,configural
,,metric,0.062,0.816,0.804,0.060,-0.001,-0.004,Pass,
,,scalar,0.063,0.797,0.796,0.063,0.001,-0.019,Fail,scalar
Bayesian Racism,Median age,configural,0.048,0.966,0.961,0.047,,,Pass,
,,metric,0.048,0.963,0.960,0.049,0.000,-0.003,Pass,
,,scalar,0.049,0.959,0.959,0.051,0.001,-0.004,Pass,
,Gender,configural,0.046,0.966,0.961,0.045,,,Pass,
,,metric,0.052,0.955,0.951,0.051,0.006,-0.011,Pass,
,,scalar,0.054,0.947,0.947,0.054,0.002,-0.008,Pass,
Belief in a Just World: General Just World Scale,Median age,configural,0.045,0.988,0.980,0.030,,,Pass,
,,metric,0.043,0.986,0.982,0.032,-0.002,-0.002,Pass,
,,scalar,0.057,0.971,0.969,0.044,0.014,-0.015,Fail,scalar
,Gender,configural,0.048,0.987,0.978,0.032,,,Pass,
,,metric,0.042,0.987,0.983,0.032,-0.006,0.000,Pass,
,,scalar,0.045,0.982,0.980,0.037,0.003,-0.005,Pass,
Big 5 Inventory,Median age,configural,0.051,0.923,0.918,0.084,,,Pass,
,,metric,0.053,0.913,0.910,0.086,0.002,-0.010,Pass,
,,scalar,0.054,0.910,0.908,0.087,0.001,-0.003,Pass,
,Gender,configural,0.052,0.924,0.919,0.083,,,Pass,
,,metric,0.054,0.916,0.913,0.085,0.002,-0.008,Pass,
,,scalar,0.054,0.913,0.912,0.086,0.000,-0.003,Pass,
"Big 5 Inventory - A,O",Median age,configural,0.053,0.933,0.924,0.053,,,Pass,
,,metric,0.052,0.931,0.926,0.053,-0.001,-0.002,Pass,
